"codiceCorrispondenteAcq","codiceEsercenteAccettazione","insegnaPuntoVendita","co_sicc"
"449215","174030076999","PUSHWOOSH INC.","7399"
"449215","174030076999","ZAKONGRP/OPENCONF","5045"
"449215","174030076999","PAYPAL *SELFPUBBOOK","8931"
"00000001297","174030076999","HEMMINGS MOTOR NEWS, I","7299"
"449215","174030076999","HEROKU *FEB-24683057","7372"
"00000001297","174030076999","THREE BROTHERS TECH","5045"
"00000001297","174030076999","YOUR PLEASURE POINT","5399"
"00000001297","174030076999","HEROKU *FEB-24240551","7372"
"00000001297","174030076999","ECWID INC","5045"
"00000001297","174030076999","EVERLANE INC*707146637","5699"
"449215","174030076999","HEROKU *FEB-24455858","7372"
"449215","174030076999","PAYPAL *BIGDADDYSRE","4789"
"449215","174030076999","WRAPBOOTSTRAP","5045"
"449215","174030076999","SUBSC BOX - CULTUREFLY","5611"
"449215","174030076999","BETTERHELP  *DR.HALL","7277"
"00000001297","174030076999","CODECADEMY","8299"
"449215","174030076999","PAYPAL *NEWBURYCOMI","5735"
"449215","174030076999","INSPALL*5 LICENSES","5045"
"449215","174030076999","PAYPAL *ADECINNOVATIONS","7392"
"00000001297","174030076999","TUNECORE, INC.","7299"
"449215","174030076999","PHOTOSHELTER","5045"
"449215","174030076999","HEROKU *FEB-24178868","7372"
"00000001297","174030076999","FREE3D","7399"
"00000001297","174030076999","VIRTUALMIN, INC.","5045"
"449215","174030076999","FONTSPRING  *46491421","5045"
"449215","174030076999","PAYPAL *TOMHESSMUSI","5817"
"449215","174030076999","PAYPAL *CASWELL INC","5169"
"00000001297","174030076999","E3 SOFTWARE","5734"
"00000001297","174030076999","DOMESTIKA INTERACTIVA","8299"
"449215","174030076999","TJWEDDINGREGISTRY.COM","7299"
"449215","174030076999","PAYPAL *BRATHWAIT","5699"
"449215","174030076999","SONGSTERR","5733"
"449215","174030076999","HEROKU *FEB-24124908","7372"
"449215","174030076999","HEROKU *FEB-24444350","7372"
"449215","174030076999","PAYPAL *VIRALSTYLE","5611"
"449215","174030076999","SAPLINGLEARN*HOMEWORK","8299"
"449215","174030076999","ONE PERCENT FOR THE PLANE","8398"
"00000001297","174030076999","BETTERHELP  *MA","7277"
"00000001297","174030076999","LIVEBOOKS","7372"
"00000001297","174030076999","PACKBACK INC.","8220"
"449215","174030076999","FLICKR *PRO 2 YEARS","7299"
"449215","174030076999","HEROKU *FEB-24244314","7372"
"449215","174030076999","HEROKU *FEB-24481966","7372"
"449215","174030076999","JIMMY LION","5999"
"449215","174030076999","HANDWEAVING.NET","5045"
"449215","174030076999","DIGICEL INC.,","5045"
"00000002950","174030076999","WWW.REPRESENT.COM     7700 EASTPORT PARKWAY                           3234561000   10001     NY USA","5691"
"449215","174030076999","ECWID INC","5045"
"449215","174030076999","PAYPAL *WEBSECURITY ORD","7311"
"00000001297","174030076999","CITY PASS, INC.","7922"
"449215","174030076999","MSFTSREP","5611"
"449215","174030076999","MACMILLAN EDUCATION","5815"
"449215","174030076999","SAM HARRIS MEDIA, INC.","5815"
"00000001297","174030076999","NORTHSTAR TRAVEL MEDIA","5045"
"00000002950","174030076999","TUNECORE, INC.        7700 EASTPORT PARKWAY                           6466511060   11201     NY USA","7299"
"449215","174030076999","BETTERHELP  *ITALY","7277"
"449215","174030076999","CHIKARA","7929"
"00000001297","174030076999","TEAMGANTT","5045"
"449215","174030076999","HEROKU *FEB-24570234","7372"
"449215","174030076999","PRICELABSINC*DYNAPRICE","5045"
"449215","174030076999","MACUPDATE","5045"
"449215","174030076999","PEDIPED FOOTWEAR","5661"
"449215","174030076999","PAYPAL *PLUGNALLNCE","5734"
"00000001297","174030076999","CONTEXT TRAVEL","7999"
"449215","174030076999","BATCHGEO","5045"
"449215","174030076999","PAYPAL *WEB COURSES","4816"
"449215","174030076999","HEROKU *FEB-24757388","7372"
"449215","174030076999","FONTSPRING  *45724766","5045"
"449215","174030076999","REZDY","5045"
"449215","174030076999","STREAMLABS","5045"
"449215","174030076999","PAYPAL *RC4WD","5945"
"449215","174030076999","PAYPAL *E.I.C. INC","5719"
"449215","174030076999","PAYPAL *SMRKETITALY","5499"
"449215","174030076999","PAYPAL *BLUECATSCRE","5735"
"449215","174030076999","HEROKU *FEB-24235195","7372"
"00000001297","174030076999","HEROKU *FEB-24138231","7372"
"449215","174030076999","BETTERHELP  *KNAPP LUC","7277"
"449215","174030076999","PAYPAL *VIRMACHVPS","7372"
"449215","174030076999","WORDFENCE","5045"
"449215","174030076999","INDIE MERCHANDISING LLC","5999"
"00000001297","174030076999","PRICELABSINC*DYNAPRICE","5045"
"449215","174030076999","ZONE FIVE SOFTWARE","5734"
"449215","174030076999","EVERLANE INC*201223145","5699"
"449215","174030076999","TRELLO.COM, ATLASSIAN","5045"
"449215","174030076999","SIGNNOW","5045"
"449215","174030076999","BLUE BOTTLE COFFEE, INC","5999"
"449215","174030076999","PRESETS*DVLOP.COM","5734"
"449215","174030076999","PAYPAL *DAVIDRAGOAU","5971"
"00000001297","174030076999","YAHOO SMALL BUSINESS","4816"
"449215","174030076999","OPENVACS","7299"
"449215","174030076999","HEROKU *FEB-24554964","7372"
"449215","174030076999","PAYPAL *S3PWRSPRTS","5941"
"00000001297","174030076999","RUSSIANFLORA*FLOWERS","5969"
"449215","174030076999","PAYPAL *MAXIMONIVEL","8220"
"449215","174030076999","VISME","5045"
"449215","174030076999","PAYPAL *RED GIANT","5734"
"00000001297","174030076999","TEACHERSPAYTEACHERS.CO","8299"
"449215","174030076999","SPINBACKUP","7299"
"449215","174030076999","PLUGIN ALLIANCE","5045"
"00000001297","174030076999","SIMPLEBOOKLET.COM","5045"
"00000001297","174030076999","RADIO AIRPLAY","7311"
"449215","174030076999","PAYPAL *ROBERTSSPAC","5816"
"449215","174030076999","PAYPAL *ANTIGRAVITY","5941"
"449215","174030076999","PAYPAL *IBUTTONLINK","5732"
"449215","174030076999","HEROKU *FEB-24552068","7372"
"449215","174030076999","POWR INC","5045"
"449215","174030076999","BIGBADTOYSTORE","5945"
"00000001297","174030076999","LEISURE ARTS INC.","5999"
"449215","174030076999","STIMSOCIAL.COM","7299"
"00000001297","174030076999","BETTERHELP  *DR.GONZAL","7277"
"449215","174030076999","AUDIOBOOKS.COM","7299"
"00000001297","174030076999","WORDFENCE","5045"
"449215","174030076999","HEROKU *FEB-24535074","7372"
"00000001297","174030076999","PAYPAL *CYBELESOFTW","4816"
"00000001297","174030076999","ONEHUB","7372"
"449215","174030076999","NET NANNY,CONTENTWATCH","5045"
"449215","174030076999","HEROKU *FEB-24641938","7372"
"449215","174030076999","PAYPAL *SAMM/SUPER","5734"
"00000001297","174030076999","DIGICEL INC.,","5969"
"00000001297","174030076999","PP*HUMBLEBUNDLE.COM","7994"
"449215","174030076999","PAYPAL *PROTEKTRADI","5331"
"449215","174030076999","PAYPAL *IAWE INC","8398"
"449215","174030076999","EMASTERED.COM","7372"
"449215","174030076999","LEADPAGES","5045"
"449215","174030076999","PROTOIO INC","5045"
"449215","174030076999","HEROKU *FEB-24186619","7372"
"449215","174030076999","PARTZILLA.COM","5533"
"00000001297","174030076999","TRAINERROAD.COM","5734"
"00000001297","174030076999","FLICKR *PRO 1 YEAR","7299"
"00000001297","174030076999","PAYPAL *EXPRESSVPN","4816"
"449215","174030076999","PAYPAL *CEDARLAKEVE","7372"
"449215","174030076999","TUBEBUDDYCOM*","5045"
"449215","174030076999","PAYPAL *EZSNIPER","4816"
"449215","174030076999","HEROKU *FEB-24702488","7372"
"449215","174030076999","BIGCONTACTS","5045"
"449215","174030076999","IBAKATV","5817"
"00000001297","174030076999","HEALTHLABS.COM","8071"
"00000001297","174030076999","LABELIZERS.COM","5921"
"449215","174030076999","SEAMWORK MAG*SUBSCRIBE","5192"
"449215","174030076999","PAYPAL *SPIE","8398"
"449215","174030076999","STREAMLABS  *PROEFFECT","5045"
"00000001297","174030076999","HUGEDOMAINS.COM","4816"
"449215","174030076999","PAYPAL *FLATWORLDSO","7392"
"449215","174030076999","PAYPAL *BANDCAMP","5999"
"00000001297","174030076999","SLATE DIGITAL","5045"
"00000001297","174030076999","TRACKIMO LLC","5732"
"449215","174030076999","SSM*DAILY NEWS PHOTO","7299"
"00000001297","174030076999","HEROKU *FEB-24281344","7372"
"449215","174030076999","HEROKU *FEB-24438686","7372"
"449215","174030076999","PAYPAL *DIGITALOCEA","5999"
"449215","174030076999","PAYPAL *VEGAS COM","4722"
"00000001297","174030076999","PAYPAL *FEDERALRESE","9399"
"449215","174030076999","FONTSPRING  *46386430","5045"
"449215","174030076999","BRAND-YOURSELF.COM","5045"
"00000001297","174030076999","PREPLY","7299"
"449215","174030076999","SOI DOG*DONATE 010201R","8398"
"449215","174030076999","BETTERHELP  *DR.BOAFO-","7277"
"449215","174030076999","PAYPAL *ARROW ECOMM","4812"
"449215","174030076999","HEROKU *FEB-24329027","7372"
"00000001297","174030076999","MAILTRAP","5045"
"00000001297","174030076999","HEROKU *FEB-24571077","7372"
"449215","174030076999","HEROKU *FEB-24265572","7372"
"449215","174030076999","TALKTONE, INC.","5045"
"449215","174030076999","NIMBLE, INC.","5045"
"449215","174030076999","MEETINGKING","5045"
"449215","174030076999","GO OVERSEAS, INC.","7311"
"449215","174030076999","PAYPAL *CMON INC","5945"
"449215","174030076999","SATTVA CONNECT LLC","7997"
"449215","174030076999","HEROKU *FEB-24550400","7372"
"00000001297","174030076999","PAYPAL *PANASONICAV","4816"
"449215","174030076999","PAYPAL *ITCH IO","5816"
"449215","174030076999","SINCERELY","5947"
"00000001297","174030076999","ANDOLASOFT INC","5734"
"449215","174030076999","DOMESTIKA INTERACTIVA","8299"
"449215","174030076999","COURSRA*1RZY21W4FBDA6G","8299"
"00000001297","174030076999","SAM HARRIS MEDIA, INC.","5815"
"00000001297","174030076999","PAYPAL *JRIVER INC","4816"
"00000001297","174030076999","PUREMIX","8299"
"449215","174030076999","PREPLY","7299"
"449215","174030076999","HEROKU *FEB-24619074","7372"
"00000001297","174030076999","PROZ.COM, INC.","7399"
"449215","174030076999","HEROKU *FEB-24693111","7372"
"449215","174030076999","TMZHOSTING LLC","7372"
"00000001297","174030076999","USERVOICE","7399"
"449215","174030076999","ECONOMIC HISTORY ASSOCIAT","8398"
"449215","174030076999","CMP*CYBERSTEP TOREBA","5045"
"449215","174030076999","HEROKU *FEB-24630285","7372"
"00000001297","174030076999","GIFT BASKETS*OVERSEAS","5999"
"449215","174030076999","EVERLANE INC*856025258","5699"
"00000001297","174030076999","LUCKYORANGE.COM","5045"
"449215","174030076999","PAYPAL *MUSIC ZOO","5733"
"00000001297","174030076999","ZAKONGRP/OPENCONF","5045"
"449215","174030076999","POWERPRODUCTION SOFTWARE","5045"
"449215","174030076999","PLAYTKA*SLOTOMANIA.COM","5816"
"449215","174030076999","BARCODEWIZ","5734"
"449215","174030076999","BLUESTEPS -AESC EXECUTIVE","8999"
"00000001297","174030076999","ZWIFT, INC.","5045"
"449215","174030076999","PAYPAL *PLANETEXPRE","7399"
"449215","174030076999","SOCKETLABS","5045"
"449215","174030076999","TEAMWORKONLINE.COM","5045"
"449215","174030076999","TEACHERSPAYTEACHERS.COM","8299"
"449215","174030076999","ALL HANDS AND HEARTS SMAR","8398"
"449215","174030076999","HEROKU *FEB-24540710","7372"
"449215","174030076999","PAYPAL *PANASONICAV","4816"
"449215","174030076999","HEROKU *FEB-24678033","7372"
"449215","174030076999","MACUPDT*MACUPDATE-DESK","5045"
"449215","174030076999","ENABLER4SHEETS LLC DBA XA","5045"
"449215","174030076999","VTEXPERTS, INC","5045"
"449215","174030076999","EVERLANE INC*042451721","5699"
"449215","174030076999","PAYPAL *ART CONTEST","5971"
"449215","174030076999","THRIFT BOOKS GLOBAL, LLC","5942"
"00000001297","174030076999","STREAMLABS","5045"
"449215","174030076999","HEROKU *FEB-24674411","7372"
"00000001297","174030076999","HEROKU *FEB-24101649","7372"
"00000001297","174030076999","FLICKR *PRO 3 MONTHS","7299"
"449215","174030076999","RUN IT ONCE, INC.","7299"
"449215","174030076999","COURSRA*9W62EWGK3TWZCY","8299"
"449215","174030076999","PAYPAL *BANDCAMP","5735"
"00000001297","174030076999","RUN IT ONCE, INC.","7299"
"449215","174030076999","PAYPAL *GBROWNLCSW","8099"
"449215","174030076999","KIEZELPAY","5045"
"449215","174030076999","HEROKU *FEB-24339267","7372"
"449215","174030076999","PAYPAL *NATIONALGRA","8699"
"449215","174030076999","PAYPAL *SPEDIZIONID","7278"
"449215","174030076999","ZAGSTER , PACE","7299"
"449215","174030076999","PAYPAL *FSPILOTSHOP","5945"
"449215","174030076999","RUSHTRANSLATE","7399"
"00000002950","174030076999","GITHUB.COM            7700 EASTPORT PARKWAY                           4154486673   94107     CA USA","5045"
"00000001297","174030076999","CLICKUP","5045"
"449215","174030076999","PAYPAL *AC-JAPAN","5945"
"449215","174030076999","PAYPAL *EBAYSALES","5533"
"00000001297","174030076999","STIMSOCIAL.COM","7299"
"449215","174030076999","ASPNIX","7372"
"449215","174030076999","PAYPAL *FASHIONNOVA","5621"
"449215","174030076999","N+1","8398"
"449215","174030076999","INFOGRAM.COM","5045"
"00000001297","174030076999","PAYPAL *PDRSOLUTION","4816"
"00000002950","174030076999","FORWARD WEB           7700 EASTPORT PARKWAY                           8005906985   95354     CA USA","7372"
"449215","174030076999","MBERRY","5499"
"449215","174030076999","FLICKR","7299"
"449215","174030076999","PAYPAL *TIAFT","8398"
"00000001297","174030076999","NIMBLE, INC.","5045"
"449215","174030076999","EVERLANE INC*246860274","5699"
"449215","174030076999","COURSRA*3IQW404HVWVP2N","8299"
"00000001297","174030076999","TALKTONE, INC.","5045"
"449215","174030076999","ENTERTAINMENT LOCKERS, IN","7299"
"449215","174030076999","PAYPAL *UBER","4121"
"449215","174030076999","TRAININGPEAKS","5045"
"449215","174030076999","MYDROIDTV","5045"
"449215","174030076999","PAYPAL *JETPENS","5943"
"449215","174030076999","COURSRA*7TX4MH6FHPWASC","8299"
"449215","174030076999","FIVERR *","7299"
"449215","174030076999","EVERLANE INC*768107202","5699"
"00000001297","174030076999","KIEZELPAY","5045"
"449215","174030076999","HEROKU *FEB-24414555","7372"
"00000001297","174030076999","HEROKU *FEB-24416250","7372"
"00000001297","174030076999","HEROKU *FEB-24571141","7372"
"449215","174030076999","SOI DOG*DONATE 020200R","8398"
"00000001297","174030076999","HEROKU *FEB-24244090","7372"
"00000001297","174030076999","MACUPDATE","5045"
"00000001297","174030076999","REZDY","5045"
"449215","174030076999","RADIO AIRPLAY","7311"
"00000001297","174030076999","BUS INSIDER *BI PRIME","5045"
"449215","174030076999","HEROKU *FEB-24549871","7372"
"449215","174030076999","TRACKIMO LLC","5732"
"449215","174030076999","COURSERA","8299"
"449215","174030076999","PAYPAL *STRATAGEMTR","7392"
"449215","174030076999","HEROKU *FEB-24788987","7372"
"449215","174030076999","PAYPAL *DISCOGS","5735"
"00000001297","174030076999","ELLUSIONIST.COM INC","5999"
"00000002950","174030076999","FLICKR *PRO 2 YEARS   7700 EASTPORT PARKWAY                           6502650400   94041     CA USA","7299"
"449215","174030076999","MAILTRAP","5045"
"449215","174030076999","BONANZA.COM","5045"
"00000001297","174030076999","OLIBERTE","5969"
"449215","174030076999","PAYPAL *FREEPEOPLEC","5621"
"449215","174030076999","PAYPAL *GAMESTORE","5816"
"449215","174030076999","PAYPAL *LIVE LINGUA","8249"
"449215","174030076999","FREE3D","7399"
"449215","174030076999","PAYPAL *WARNERELEKT","5735"
"449215","174030076999","APPINSTITUTE","5045"
"00000001297","174030076999","MOTIONDEN","5045"
"449215","174030076999","1STDIBS.COM, INC.","5999"
"449215","174030076999","EXTENSI*SUITCASE FUSIO","7372"
"00000001297","174030076999","PUSHWOOSH INC.","7399"
"449215","174030076999","PAYPAL *GOOSECREEKE","5719"
"449215","174030076999","PAYPAL *SKYUNIONLLC","7994"
"449215","174030076999","NETWORK AFTER WORK","7361"
"00000001297","174030076999","THE FEIRING LINE NEWSL","5968"
"449215","174030076999","BEEKETING","5045"
